TFBGA240_ball,TFBGA240_note,pin_name,pin_type,io_structure,notes,alternate_functions,additional_functions,LQFP100,TFBGA100,LQFP144,UFBGA169,UFBGA176+25,LQFP176,LQFP208,TFBGA240+25_raw,ds_page
-,,VDD,S,-,-,-,-,-,-,121,-,C8,149,171,-,83
B11,,PD6,I/O,FT_h,-,"SAI1_D1, DFSDM1_CKIN4, DFSDM1_DATIN1, SPI3_MOSI/I2S3_SDO, SAI1_SD_A, USART2_RX, SAI4_SD_A, SAI4_D1, SDMMC2_CK, FMC_NWAIT, DCMI_D10, LCD_B2, EVENTOUT",-,87,C6,122,B9,B11,150,172,B11,83
C11,,PD7,I/O,FT_h,-,"DFSDM1_DATIN4, SPI1_MOSI/I2S1_SDO, DFSDM1_CKIN1, USART2_CK, SPDIFRX1_IN1, SDMMC2_CMD, FMC_NE1, EVENTOUT",-,88,D6,123,D8,A11,151,173,C11,83
D11,,PJ12,I/O,FT,-,"TRGOUT, LCD_G3, LCD_B0, EVENTOUT",-,-,-,-,-,-,-,174,D11,83
E10,,PJ13,I/O,FT,-,"LCD_B4, LCD_B1, EVENTOUT",-,-,-,-,-,-,-,175,E10,83
D10,,PJ14,I/O,FT,-,"LCD_B2, EVENTOUT",-,-,-,-,-,-,-,176,D10,83
B10,,PJ15,I/O,FT,-,"LCD_B3, EVENTOUT",-,-,-,-,-,-,-,177,B10,83
-,,VSS,S,-,-,-,-,-,-,-,-,H6,-,-,-,84
-,,VDD,S,-,-,-,-,-,-,-,A7,-,-,-,-,84
A10,,PG9,I/O,FT_h,-,"SPI1_MISO/I2S1_SDI, USART6_RX, SPDIFRX1_IN4, QUADSPI_BK2_IO2, SAI2_FS_B, FMC_NE2/FMC_NCE, DCMI_VSYNC, EVENTOUT",-,-,-,124,C8,C10,152,178,A10,84
A9,,PG10,I/O,FT_h,-,"HRTIM_FLT5, SPI1_NSS/I2S1_WS, LCD_G3, SAI2_SD_B, FMC_NE3, DCMI_D2, LCD_B2, EVENTOUT",-,-,-,125,A8,B10,153,179,A9,84
B9,,PG11,I/O,FT_h,-,"LPTIM1_IN2, HRTIM_EEV4, SPI1_SCK/I2S1_CK, SPDIFRX1_IN1, SDMMC2_D2, ETH_MII_TX_EN/ETH_R MII_TX_EN, DCMI_D3, LCD_B3, EVENTOUT",-,-,-,126,B8,B9,154,180,B9,84
C9,,PG12,I/O,FT_h,-,"LPTIM1_IN1, HRTIM_EEV5, SPI6_MISO, USART6_RTS/USART6_ DE, SPDIFRX1_IN2, LCD_B4, ETH_MII_TXD1/ETH_RM II_TXD1, FMC_NE4, LCD_B1, EVENTOUT",-,-,-,127,E8,B8,155,181,C9,84
