pin,TFBGA240_ball,TFBGA240_note,io_structure,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15,additional_functions,ds_page
PF15,R9,,FT_fh,,,,,I2C4_SDA,,,,,,,,FMC_A9,,,EVENTOUT,-,95
PG0,T8,,FT_h,,,,,,,,,,,,,FMC_A10,,,EVENTOUT,-,96
PG1,U8,,TT_h,,,,,,,,,,,,,FMC_A11,,,EVENTOUT,OPAMP2_VINM,96
PG2,H16,,FT_h,,,,TIM8_BKIN,,,,,,,,TIM8_BKIN_COMP12,FMC_A12,,,EVENTOUT,-,96
PG3,H15,,FT_h,,,,TIM8_BKIN2,,,,,,,,TIM8_BKIN2_COMP12,FMC_A13,,,EVENTOUT,-,96
PG4,H14,,FT_h,,TIM1_BKIN2,,,,,,,,,,TIM1_BKIN2_COMP12,FMC_A14/FMC_BA0,,,EVENTOUT,-,96
PG5,G14,,FT_h,,TIM1_ETR,,,,,,,,,,,FMC_A15/FMC_BA1,,,EVENTOUT,-,96
PG6,G15,,FT_h,,TIM17_BKIN,HRTIM_CHE1,,,,,,,,QUADSPI_BK1_NCS,,FMC_NE3,DCMI_D12,LCD_R7,EVENTOUT,-,96
PG7,F16,,FT_h,,,HRTIM_CHE2,,,,SAI1_MCLK_A,USART6_CK,,,,,FMC_INT,DCMI_D13,LCD_CLK,EVENTOUT,-,96
PG8,F15,,FT_h,,,,TIM8_ETR,,SPI6_NSS,,USART6_RTS/USART6_DE,SPDIFRX1_IN3,,,ETH_PPS_OUT,FMC_SDCLK,,LCD_G7,EVENTOUT,-,96
PG9,A10,,FT_h,,,,,,SPI1_MISO/I2S1_SDI,,USART6_RX,SPDIFRX1_IN4,QUADSPI_BK2_IO2,SAI2_FS_B,,FMC_NE2/FMC_NCE,DCMI_VSYNC,,EVENTOUT,-,96
PG10,A9,,FT_h,,,HRTIM_FLT5,,,SPI1_NSS/I2S1_WS,,,,LCD_G3,SAI2_SD_B,,FMC_NE3,DCMI_D2,LCD_B2,EVENTOUT,-,96
PG11,B9,,FT_h,,LPTIM1_IN2,HRTIM_EEV4,,,SPI1_SCK/I2S1_CK,,,SPDIFRX1_IN1,,SDMMC2_D2,ETH_MII_TX_EN/ETH_RMII_TX_EN,,DCMI_D3,LCD_B3,EVENTOUT,-,96
PG12,C9,,FT_h,,LPTIM1_IN1,HRTIM_EEV5,,,SPI6_MISO,,USART6_RTS/USART6_DE,SPDIFRX1_IN2,LCD_B4,,ETH_MII_TXD1/ETH_RMII_TXD1,FMC_NE4,,LCD_B1,EVENTOUT,-,97
PG13,D9,,FT_h,TRACED0,LPTIM1_OUT,HRTIM_EEV10,,,SPI6_SCK,,USART6_CTS/USART6_NSS,,,,ETH_MII_TXD0/ETH_RMII_TXD0,FMC_A24,,LCD_R0,EVENTOUT,-,97
PG14,D8,,FT_h,TRACED1,LPTIM1_ETR,,,,SPI6_MOSI,,USART6_TX,,QUADSPI_BK2_IO3,,ETH_MII_TXD1/ETH_RMII_TXD1,FMC_A25,,LCD_B0,EVENTOUT,-,97
PG15,D6,,FT_h,,,,,,,,USART6_CTS/USART6_NSS,,,,,FMC_SDNCAS,DCMI_D13,,EVENTOUT,-,97
PH0,J2,,FT,,,,,,,,,,,,,,,,EVENTOUT,OSC_IN,97
PH1,J1,,FT,,,,,,,,,,,,,,,,EVENTOUT,OSC_OUT,97
PH2,N2,,FT_h a,,LPTIM1_IN2,,,,,,,,QUADSPI_BK2_IO0,SAI2_SCK_B,ETH_MII_CRS,FMC_SDCKE0,,LCD_R0,EVENTOUT,ADC3_INP13,97
PH3,P2,,FT_h a,,,,,,,,,,QUADSPI_BK2_IO1,SAI2_MCLK_B,ETH_MII_COL,FMC_SDNE0,,LCD_R1,EVENTOUT,"ADC3_INN13, ADC3_INP14",97
PH4,P3,,FT_fa,,,,,I2C2_SCL,,,,,LCD_G5,OTG_HS_ULPI_NXT,,,,LCD_G4,EVENTOUT,"ADC3_INN14, ADC3_INP15",97
PH5,P4,,FT_fa,,,,,I2C2_SDA,SPI5_NSS,,,,,,,FMC_SDNWE,,,EVENTOUT,"ADC3_INN15, ADC3_INP16",97
PH6,T11,,FT,,,TIM12_CH1,,I2C2_SMBA,SPI5_SCK,,,,,,ETH_MII_RXD2,FMC_SDNE1,DCMI_D8,,EVENTOUT,-,97
PH7,U13,,FT_fa,,,,,I2C3_SCL,SPI5_MISO,,,,,,ETH_MII_RXD3,FMC_SDCKE1,DCMI_D9,,EVENTOUT,-,97
PH8,T13,,FT_fh a,,,TIM5_ETR,,I2C3_SDA,,,,,,,,FMC_D16,DCMI_HSYNC,LCD_R2,EVENTOUT,-,97
PH9,R13,,FT_h,,,TIM12_CH2,,I2C3_SMBA,,,,,,,,FMC_D17,DCMI_D0,LCD_R3,EVENTOUT,-,97
PH10,P13,,FT_h,,,TIM5_CH1,,I2C4_SMBA,,,,,,,,FMC_D18,DCMI_D1,LCD_R4,EVENTOUT,-,98
PH11,P14,,FT_fh,,,TIM5_CH2,,I2C4_SCL,,,,,,,,FMC_D19,DCMI_D2,LCD_R5,EVENTOUT,-,98
PH12,R14,,FT_fh,,,TIM5_CH3,,I2C4_SDA,,,,,,,,FMC_D20,DCMI_D3,LCD_R6,EVENTOUT,-,98
